ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Contactset_ID,Respondent
set33-DKN06,set33-F,DKN06,?,,,,set33,Anna Berge
set34-DKN06,set34-F,DKN06,Yes,DKN06-yes,[Likely so. Some kind of religious Tibetan.],,set34,Erika Sandman
set01-DKN07,set01-F,DKN07,?,,,,set01,Hank Nater
set02-DKN07,set02-F,DKN07,No,DKN07-no,,,set02,Mathias Jenny
set03-DKN07,set03-F,DKN07,?,,,,set03,Yvonne Treis & Deginet Wotango Doyiso
set04-DKN07,set04-F,DKN07,?,,,,set04,Hannah Gibson & Maarten Mous
set05-DKN07,set05-F,DKN07,No,DKN07-no,,,set05,Ellen Smith-Dennis
set06a-DKN07,set06a-F,DKN07,Yes,DKN07-yes,"Well-to-do and middle class families, as well as lower-class families who want their children to get a good education and obtain school-leaving certificates prefer to send their children to private or Church schools. Some state schools with unmotivated students face problems, but there are good state schools too.

Most Sicilian families, like Italian families, prefer to send their children to state schools because they are used to state schools being preferable in Italy. In Malta these children often face inclusion problems since the languages of instruction are English and Maltese.

In Malta contact between Maltese and Sicilian persons is not dense at all. It is sparsely spread all over the island, and therefore social differences do not come into the picture.",,set06a,Joseph M Brincat
set07-DKN07,set07-F,DKN07,No,DKN07-no,,,set07,Admire Phiri
set08-DKN07,set08-F,DKN07,?,,,,set08,Ross Bowden
set09-DKN07,set09-F,DKN07,Yes,DKN07-yes,"All Korandje speakers engage in contact with North African Arabic, and fairly intensely at that (with the possible exception of some of the oldest women). Not all, however, engage in formal education; state education is universal among the young, but was much less accessible to the old. [Responsing focusing on the following social group/s:] People born after ca. 1970.",,set09,Lameen Souag
set10-DKN07,set10-F,DKN07,No,DKN07-no,,,set10,Anonymous
set11-DKN07,set11-F,DKN07,?,,,,set11,Alexander Cobbinah
set12-DKN07,set12-F,DKN07,Yes,DKN07-yes,"[Responding focusing on the following social group/s:] Classmates, teachers",,set12,Saloumeh Gholami in cooperation with Mahîr Dogan
set13-DKN07,set13-F,DKN07,?,,,,set13,Jerry K. Jacka
set14-DKN07,set14-F,DKN07,?,,,,set14,Ana María Ospina Bozzi
set15-DKN07,set15-F,DKN07,No,DKN07-no,,,set15,Bruno Olsson
set16-DKN07,set16-F,DKN07,?,,,,set16,Katja Hannß
set17-DKN07,set17-F,DKN07,Yes,DKN07-yes,"Lower and mid-class Mexican Spanish people socialize with other lower and mid-class Toluca (Temoaya) Otomi people, but upper-class Mexican Spanish people do not.",,set17,Rosnátaly Avelino
set18-DKN07,set18-F,DKN07,Yes,DKN07-yes,"People participate in ceremonies in different ways depending on their age, gender, descent group, land owning group and place-based identity. [Responding focusing on the following social group/s:] Elders, older people recognised for their spiritual knowledge and/or leadership skills, work closely together to plan ceremonial activities.",,set18,Ruth Singer
set19-DKN07,set19-F,DKN07,Yes,DKN07-yes,"The knowledge is possessed by men who have higher status in the Alorese clan system. In the Alorese village of Alor Besar the highest clan is the Bungabali clan that is the royal clan (see Sulistyono, 2022, chapter 3, appendix A).",,set19,Francesca Moro & Yunus Sulistyono
set20-DKN07,set20-F,DKN07,Yes,DKN07-yes,"In this domain class differentiation is not relevant as here Focus group is not a class divided society, sense of high or low does not exist among them. Here gender gets salience as the Santali female students rarely socialize with the Bengali students as opposed to the male students who sometimes socialize, even they rarely speak with the Bengali teachers. In student union they rarely participate.",,set20,Arun Ghosh
set21-DKN07,set21-F,DKN07,Yes,DKN07-yes,Men of high social rank in urban environments probably belong to the social group which were predominantly involved in the domain of knowledge transfer.,,set21,Georg Ziegelmeyer
set22-DKN07,set22-F,DKN07,No,DKN07-no,"Men are more likely to travel more outside the village. However, girls do attend school and to my knowledge are not less likely to go to school than boys.
Again, in the past men might become literate in Tai Lue in the monastery but women would not.",,set22,Elizabeth Hall
set23-DKN07,set23-F,DKN07,No,DKN07-no,,,set23,Veronika Zikmundová & Kicengge (Chengzhi)
set24-DKN07,set24-F,DKN07,Yes,DKN07-yes,It is more likely for lower-class Spanish-speaking people to socialize with Toba than for upper-class Spanish-speaking people.,,set24,Cristina Messineo & Paola Cúneo & Agustina Paredes & Nicolás Brid & Ana Blanco
set25-DKN07,set25-F,DKN07,No,DKN07-no,,,set25,María Belén Carpio & Marcela Mendoza
set27-DKN07,set27-F,DKN07,Yes,DKN07-yes,"This is a very hard question to answer, given the extent to which the use of Tok Pisin has pervaded Paluai society and its different domains, and as the differences between the groups will likely be very subtle. In (11), I answered 'yes' to all the social groups that are possible or likely to be relevant in the Paluai context, but many of them are interrelated (e.g. clan and land ownership go together), and they won't all play a role to the same extent either.; The relevant social group is still the entire community. But there will be differences between subgroups to the extent that the younger, more mobile and better educated a person is, the more likely it is that they encounter Tok Pisin speakers more often.",,set27,Dineke Schokkin
set28-DKN07,set28-F,DKN07,?,,,,set28,Eri Kashima & Dineke Schokkin
set29-DKN07,set29-F,DKN07,?,,,,set29,Jill Vaughan
set30-DKN07,set30-F,DKN07,No,DKN07-no,"SB: Overall no, exception. Early 1900s in Sweden: The herders were, from a Darwinist perspective, regarded less advanced than Sami people with other livelihoods and majority society. Their children had to follow a special track in schooling to assimilate in majority society, with instruction in Swedish and where using Sami language was discouraged and penalized. Nomadic schools (Nomadskola) were established in 1913 (only for reindeer-herding Sami families). The idea was to prevent Sami children of reindeer herding families to assimilate into the Swedish society (Belancic, 2020). In the nomadic schools, the children spoke Sámi with each other, although teachers used Swedish as a language of instruction (Jannok Nutti, 2010; Svonni, 2007).
",,set30,Sacha Beck & Richard Kowalik
set31-DKN07,set31-F,DKN07,?,,,,set31,Sonal Kulkarni-Joshi
set32-DKN07,set32-F,DKN07,No,DKN07-no,"Undoubtedly there are differences in individuals' experiences of this domain depending on several social factors (age, gender, social class, location). However, these differences are likely to have been differences in the kind of experience, not necessarily the intensity of contact, and it is unclear what social group would have experienced the densest contact between Yurok and Karuk languages.",,set32,Hannah Haynie
set33-DKN07,set33-F,DKN07,?,,,,set33,Anna Berge
set34-DKN07,set34-F,DKN07,Yes,DKN07-yes,"[Monks are religious professionals, so their experience of the knowledge domain would be different to lay people’s experience of religious practice.]",,set34,Erika Sandman
set01-DKN08,set01-F,DKN08,?,,,,set01,Hank Nater
set02-DKN08,set02-F,DKN08,Often,DKN08-2,in areas with substantial Mon population,,set02,Mathias Jenny
set03-DKN08,set03-F,DKN08,?,,,,set03,Yvonne Treis & Deginet Wotango Doyiso
set04-DKN08,set04-F,DKN08,?,,,,set04,Hannah Gibson & Maarten Mous
set05-DKN08,set05-F,DKN08,Very often,DKN08-1,"Rotokas children who live near the coast attend the Teperoi Primary School. Rotokas people who live near Teperoi might also attend the church there, in fact the Teperoi church sign is 'Auta Parish' - 'Auta' means ‘Papapana’ in Rotokas.",,set05,Ellen Smith-Dennis
set06a-DKN08,set06a-F,DKN08,Rarely,DKN08-4,"A few local acaDEMEics regularly participate in various research projects concerning linguistics, archaeology, geological and marine studies in collaboration with Sicilian universities.",,set06a,Joseph M Brincat
set07-DKN08,set07-F,DKN08,Very often,DKN08-1,,,set07,Admire Phiri
set08-DKN08,set08-F,DKN08,?,,,,set08,Ross Bowden
set09-DKN08,set09-F,DKN08,Very often,DKN08-1,"For those in school, the answer is ""very often""; for those out of school, interaction with the knowledge domain is closer to ""rarely"".",,set09,Lameen Souag
set10-DKN08,set10-F,DKN08,Sometimes,DKN08-3,"In rural communities, many teachers and most pupils are Focus, with few interactions with Neighbours. In urban settings, there are also some Focus private schools, where interaction with Neighbours is limited. In urban public schools, there are some interactions with Neighbours and many other communities, as schools are multiethnic.",,set10,Anonymous
set11-DKN08,set11-F,DKN08,?,,,,set11,Alexander Cobbinah
set12-DKN08,set12-F,DKN08,Very often,DKN08-1,,,set12,Saloumeh Gholami in cooperation with Mahîr Dogan
set13-DKN08,set13-F,DKN08,?,,,,set13,Jerry K. Jacka
set14-DKN08,set14-F,DKN08,?,,,,set14,Ana María Ospina Bozzi
set15-DKN08,set15-F,DKN08,Sometimes,DKN08-3,Difficult to answer. Intermarriage must have been on-going; major religious festivities took place every few years.,,set15,Bruno Olsson
set16-DKN08,set16-F,DKN08,?,,,,set16,Katja Hannß
set17-DKN08,set17-F,DKN08,Very often,DKN08-1,,,set17,Rosnátaly Avelino
set18-DKN08,set18-F,DKN08,Sometimes,DKN08-3,,,set18,Ruth Singer
set19-DKN08,set19-F,DKN08,Rarely,DKN08-4,"When they meet at ceremonial events, these usually lastfew days. In the past, travelling from the hills to the coast required some planning and time, so people were not expect to come only fro 1 day. So, we estimate an aggregate of 2/3 weeks per year of interactions regarding the transmission of knowledge ",,set19,Francesca Moro & Yunus Sulistyono
set20-DKN08,set20-F,DKN08,Rarely,DKN08-4,"Santali students attend classes but participation in group (consisting of both Bengali and Santali) discussion over study material or doubt clearing with Bengali students is rare, which is applicable for both boys and girls.",,set20,Arun Ghosh
set21-DKN08,set21-F,DKN08,Very often,DKN08-1,,,set21,Georg Ziegelmeyer
set22-DKN08,set22-F,DKN08,B,DKN08-B,,,set22,Elizabeth Hall
set23-DKN08,set23-F,DKN08,Often,DKN08-2,,,set23,Veronika Zikmundová & Kicengge (Chengzhi)
set24-DKN08,set24-F,DKN08,Very often,DKN08-1,Sometimes in religious contexts (sporadic visits).,,set24,Cristina Messineo & Paola Cúneo & Agustina Paredes & Nicolás Brid & Ana Blanco
set25-DKN08,set25-F,DKN08,Sometimes,DKN08-3,,,set25,María Belén Carpio & Marcela Mendoza
set27-DKN08,set27-F,DKN08,Sometimes,DKN08-3,This depends very much on life stage - e.g. high school students will be in contact with Tok Pisin teachers daily.,,set27,Dineke Schokkin
set28-DKN08,set28-F,DKN08,?,,,,set28,Eri Kashima & Dineke Schokkin
set29-DKN08,set29-F,DKN08,?,,,,set29,Jill Vaughan
set30-DKN08,set30-F,DKN08,Very often,DKN08-1,"SB: Schools were for Sami children. However, few Swedish children might have been present (bilingual children). In any case, Schoolmasters are Norwegian/Swedish people.  To improve his language skills, schoolmaster was recommended to accept bilingual children (Kortekangas & al. 2019).",,set30,Sacha Beck & Richard Kowalik
set31-DKN08,set31-F,DKN08,?,,,,set31,Sonal Kulkarni-Joshi
set32-DKN08,set32-F,DKN08,Sometimes,DKN08-3,"The frequency of contact is likely to be somewhat variable by individual, location, etc. Dances lasted anywhere from 2 to 10 days, depending on the ceremony and location (Kroeber 1925), so participation in a small number of ceremonial gatherings could exceed the time span categorized as ""rarely"", even before other visits and interactions are taken into account.",,set32,Hannah Haynie
set33-DKN08,set33-F,DKN08,?,,,,set33,Anna Berge
set34-DKN08,set34-F,DKN08,Very often,DKN08-1,"[In the past, religous professionals would have communicated with each other regularly. Today religious professionals would communicate with each other quite consistently, but not lay people.]",,set34,Erika Sandman
set01-DKN0a,set01-F,DKN0a,?,,,,set01,Hank Nater
set02-DKN0a,set02-F,DKN0a,since the 10th century. ,,"during the 10th/11th century, the Mon were dominant in culture and knowledge/religion",,set02,Mathias Jenny
set03-DKN0a,set03-F,DKN0a,?,,,,set03,Yvonne Treis & Deginet Wotango Doyiso
set04-DKN0a,set04-F,DKN0a,?,,,,set04,Hannah Gibson & Maarten Mous
set05-DKN0a,set05-F,DKN0a,"Since no earlier than the mid/late-19th century, when Papapana speakers settled in their contemporary location",,,,set05,Ellen Smith-Dennis
set06a-DKN0a,set06a-F,DKN0a,"Contact in Sicilian or Sicilianate Italian: 1200 to 1800 circa.
Since 1800 contact has been through Italian.

The densest period of time for contact between Malta and Sicily was from 1050 to around 1550, because political, social and economic ties were practically exclusive. From 1550 onwards such contacts with Italy increased, and ties with the UK began in 1800 but became strong from about 1850 and are strongest today. However, statistics and testimonies for the Sicilian period are scarce, with the result that most of my responses to the questionnaire concern the present time period (roughly the last decades) when contact with Sicily is still ongoing, albeit in a much wider international framework. As regards language, contact with Sicilian died out with the coming of the Knights of St John who introduced Italian, both as an official and a spoken language for the educated classes. Moreover, today the Sicilian dialect is never spoken with foreigners by the Sicilians themselves.",,,,set06a,Joseph M Brincat
set07-DKN0a,set07-F,DKN0a,For a long period of time.,,,,set07,Admire Phiri
set08-DKN0a,set08-F,DKN0a,?,,,,set08,Ross Bowden
set09-DKN0a,set09-F,DKN0a,Probably about 800 years,,"The language of literacy in Tabelbala has been Arabic ever since it became a town, and its growth was intimately tied to trade with urban centres to the north where Arabic would have been more widely spoken. The locally born scholar Makhluf al-Balbali (d. after 1533) studied in Morocco and elsewhere, so involvement had certainly started by then. The earliest explicitly dated inscription from Tabelbala, in Judeo-Arabic, was made in 1322. This relatively limited initial contact, however, would certainly have intensified during the 1400s as the oasis came under the sway of Arab nomadic groups, and further intensified in the early 20th century after the French conquest.",,set09,Lameen Souag
set10-DKN0a,set10-F,DKN0a,"Between one and two centuries in the religious domain for Focus muslims (with Macro-Neighbour being the main vehicle of Islam). 
One century approximately for formal education, which appeared in the Focus area in the 1920s with the establishment of the first (christian) mission schools, that resorted mainly to Macro-Neighbour as the medium of instruction.",,,,set10,Anonymous
set11-DKN0a,set11-F,DKN0a,?,,,,set11,Alexander Cobbinah
set12-DKN0a,set12-F,DKN0a,"Actually difficult to say, but probably since the immigration of the Turkic-speaking tribes in Anatolia. There is a theory, that that the appearance of Zazas in the areas where they live today seems to have been connected with waves of migration of Zazas from the highlands of Gīlān province in Iran (Deylam) during the 10th-12th centuries, as mentioned by Asatrian (1995). However, there is no extra-linguistic data on a possible migration of the Zazakî speakers. Whether and when they migrated from where or not is very hypothetical, which a) is based on morphosyntactic correlations between Zazakî and some languages of the Caspian Sea and b) erroneously goes back to the fact that the tribal names Dimilî and Daylam are the same (a basically refuted fallacy, which dates from the beginning of the 20th century). If the Zaza or language originated in the Daylam region, the split is likely at least a millennium ago, if not older.",,,,set12,Saloumeh Gholami in cooperation with Mahîr Dogan
set13-DKN0a,set13-F,DKN0a,?,,,,set13,Jerry K. Jacka
set14-DKN0a,set14-F,DKN0a,?,,,,set14,Ana María Ospina Bozzi
set15-DKN0a,set15-F,DKN0a,500-1000 years,,"Speculative. The Marori have assimilated completely to the Marind system of cults and totems, so there must have been knowledge transfer in this area.",,set15,Bruno Olsson
set16-DKN0a,set16-F,DKN0a,?,,,,set16,Katja Hannß
set17-DKN0a,set17-F,DKN0a,Approximately since 1950.,,,,set17,Rosnátaly Avelino
set18-DKN0a,set18-F,DKN0a,For at least the last few hundred years and probably over a thousand years.,,,,set18,Ruth Singer
set19-DKN0a,set19-F,DKN0a,"The Alorese and the Adang are in contact since the Alorese settled on the coast of the Alor peninsula (also known as Alor Bird’s Head), the Adang inhabited that area previous to the arrival of the Alorese.. Wellfelt (2016:273) reports that, in 1971, the lineage of the Alorese royal house in the village of Alor Besar counted seventeen generations. If we allow for generations of 25 years (17 x 25 = 425 years), the establishment of the Alorese village Alor Besar must have taken place about 425 years before 1971, roughly in 1550.",,,,set19,Francesca Moro & Yunus Sulistyono
set20-DKN0a,set20-F,DKN0a,Last sixty/seventy years.,,"Spread of awareness about the importance of knowledge among the Santali people developed during the fifties of the last century. Though the converted Christians among the Santali people started visiting schools/colleges even before that, they were either interested in learning through the Bengali/ Hindi/ Odia language or through English. A sense of ignorance towards their own language grew among them, ultimately leaving their own language. As their (the Christian Santali) contact with the neighboring people did not result in any change in their language, that is, Santali, we are leaving that period as insignificant in the area of contact.",,set20,Arun Ghosh
set21-DKN0a,set21-F,DKN0a,"The Kanem-Borno empire exercised power in the area fanning to the east, north, and west of Lake Chad from around the 9th century well into the 19th century. Kanuri accepted Islam in the 11th century and were the primary purveyors of Islam in the eastern part of West Africa until the 19th century. The period of greatest power was from the 16th to the 18th centuries, when the empire and its influences extended from Darfur in the east to the oases of Bilma and the Air in the north to Kebbi in the west. The empire reached its high point under the great Mai Idris Alooma, who reigned from 1580-1617.

Kanuri brought Islam to Kanem-Borno, and with Islam also a legal system. 
Related to Islamicization is a complex hierarchical political system, an organized system of trade, and warfare. ",,,,set21,Georg Ziegelmeyer
set22-DKN0a,set22-F,DKN0a,"The oldest Muak Sa-aak who went to school (with Tai Lue children) are now in their mid-late 30's.
As to the church situation, it was not always under a Tai Lue denominational group; I'm not sure when the change happened. There is some contact here further back than 30 years.",,,,set22,Elizabeth Hall
set23-DKN0a,set23-F,DKN0a,"ca. 100 years
1910s – present
The contact in Domain Knowlegde is still ongoing though losing its linguistic relevance after 2017 due to the compulsory use of Chinese in schools, even outside classes.",,,,set23,Veronika Zikmundová & Kicengge (Chengzhi)
set24-DKN0a,set24-F,DKN0a,"Approximately since the first three decades of the twentieth century. 
Education began in the first half of 20th century, in the context of military campaigns and territorial control of indigenous lands by the National State (Artiega et al 2015). 
Religion: The beginning of the evangelical missions can be traced back to the 1930's (Messineo 2020)
Contact is presently ongoing in the domain of knowledge.",,"See Artiega et al. 2015 for education in Chaco (Educación para la infancia indígena en la reducción Napalpí (Chaco, Argentina, 1911-1936)).
See Messineo 2020 for a chronology of evangelical missions in the Chaco region (Messineo, Cristina. 2020. “Lingüistas intuitivos. La labor de los misioneros menonitas entre los toba/qom del Chaco argentino’. 11° Congreso Internacional de Lingüística Misionera, Santa Rosa, La Pampa, Argentina)",,set24,Cristina Messineo & Paola Cúneo & Agustina Paredes & Nicolás Brid & Ana Blanco
set25-DKN0a,set25-F,DKN0a,"Recently, during the 20th Century, in the context of meetings of the Anglican Church.",,,,set25,María Belén Carpio & Marcela Mendoza
set27-DKN0a,set27-F,DKN0a,"Since the time missionaries and church leaders (e.g. clergymen in the Catholic church) from elsewhere in PNG or overseas have been interacting with the Paluai speech community, so most likely since the early 20th century.",,,,set27,Dineke Schokkin
set28-DKN0a,set28-F,DKN0a,?,,,,set28,Eri Kashima & Dineke Schokkin
set29-DKN0a,set29-F,DKN0a,?,,,,set29,Jill Vaughan
set30-DKN0a,set30-F,DKN0a,Christianization of the Saami from around 1650 onwards,,"There was considerable exchange during the Viking age/Early middle ages (e.g. archery, skiing, boat building (!), witch craft)",,set30,Richard Kowalik
set31-DKN0a,set31-F,DKN0a,?,,,,set31,Sonal Kulkarni-Joshi
set32-DKN0a,set32-F,DKN0a,"The duration of the shared ritual knowledge domain is unkown, but significantly predates documentation by European-Americans.",,,,set32,Hannah Haynie
set33-DKN0a,set33-F,DKN0a,?,,,,set33,Anna Berge
set34-DKN0a,set34-F,DKN0a,[From the early Ming Dynasty Sinitic and Mongolic speakers came to the area.],,,,set34,Erika Sandman
set02-DKN0aN0,set02-F,DKN0aN0,1000,,,,set02,Mathias Jenny
set02-DKN0aN1,set02-F,DKN0aN1,2020,,,,set02,Mathias Jenny
set05-DKN0aN0,set05-F,DKN0aN0,1890,,,,set05,Ellen Smith-Dennis
set05-DKN0aN1,set05-F,DKN0aN1,2020,,,,set05,Ellen Smith-Dennis
set06a-DKN0aN0,set06a-F,DKN0aN0,1200,,"Earliest documents in Chancery Sicilian received (1397) and written in Malta (1398) date back to the 14th century.

15th century documents record the presence of Sicilian monks and the employment of Sicilian teachers in Maltese schools.",,set06a,Joseph M Brincat
set06a-DKN0aN1,set06a-F,DKN0aN1,2020,,"Earliest documents in Chancery Sicilian received (1397) and written in Malta (1398) date back to the 14th century.

15th century documents record the presence of Sicilian monks and the employment of Sicilian teachers in Maltese schools.",,set06a,Joseph M Brincat
set07-DKN0aN0,set07-F,DKN0aN0,1839,,,,set07,Admire Phiri
set07-DKN0aN1,set07-F,DKN0aN1,2020,,,,set07,Admire Phiri
set09-DKN0aN0,set09-F,DKN0aN0,1200,,,,set09,Lameen Souag
set09-DKN0aN1,set09-F,DKN0aN1,2020,,,,set09,Lameen Souag
set10-DKN0aN0,set10-F,DKN0aN0,1800,,,,set10,Anonymous
set10-DKN0aN1,set10-F,DKN0aN1,2020,,,,set10,Anonymous
set12-DKN0aN0,set12-F,DKN0aN0,1000,,,,set12,Saloumeh Gholami in cooperation with Mahîr Dogan
set12-DKN0aN1,set12-F,DKN0aN1,2020,,,,set12,Saloumeh Gholami in cooperation with Mahîr Dogan
set15-DKN0aN0,set15-F,DKN0aN0,1020,,,,set15,Bruno Olsson
set15-DKN0aN1,set15-F,DKN0aN1,2020,,,,set15,Bruno Olsson
set17-DKN0aN0,set17-F,DKN0aN0,1950,,,,set17,Rosnátaly Avelino
set17-DKN0aN1,set17-F,DKN0aN1,2020,,,,set17,Rosnátaly Avelino
set18-DKN0aN0,set18-F,DKN0aN0,1600,,,,set18,Ruth Singer
set18-DKN0aN1,set18-F,DKN0aN1,2020,,,,set18,Ruth Singer
set19-DKN0aN0,set19-F,DKN0aN0,1550,,,,set19,Francesca Moro & Yunus Sulistyono
set19-DKN0aN1,set19-F,DKN0aN1,2020,,,,set19,Francesca Moro & Yunus Sulistyono
set20-DKN0aN0,set20-F,DKN0aN0,1950,,,,set20,Arun Ghosh
set20-DKN0aN1,set20-F,DKN0aN1,2020,,,,set20,Arun Ghosh
set21-DKN0aN0,set21-F,DKN0aN0,1000,,,,set21,Georg Ziegelmeyer
set21-DKN0aN1,set21-F,DKN0aN1,2020,,,,set21,Georg Ziegelmeyer
set22-DKN0aN0,set22-F,DKN0aN0,1900,,,,set22,Elizabeth Hall
set22-DKN0aN1,set22-F,DKN0aN1,2020,,,,set22,Elizabeth Hall
set23-DKN0aN0,set23-F,DKN0aN0,1910,,,,set23,Veronika Zikmundová & Kicengge (Chengzhi)
set23-DKN0aN1,set23-F,DKN0aN1,2020,,,,set23,Veronika Zikmundová & Kicengge (Chengzhi)
set24-DKN0aN0,set24-F,DKN0aN0,1930,,,,set24,Cristina Messineo & Paola Cúneo & Agustina Paredes & Nicolás Brid & Ana Blanco
set24-DKN0aN1,set24-F,DKN0aN1,2020,,,,set24,Cristina Messineo & Paola Cúneo & Agustina Paredes & Nicolás Brid & Ana Blanco
set25-DKN0aN0,set25-F,DKN0aN0,1900,,,,set25,María Belén Carpio & Marcela Mendoza
set25-DKN0aN1,set25-F,DKN0aN1,2000,,,,set25,María Belén Carpio & Marcela Mendoza
set27-DKN0aN0,set27-F,DKN0aN0,1900,,,,set27,Dineke Schokkin
set27-DKN0aN1,set27-F,DKN0aN1,2020,,,,set27,Dineke Schokkin
set30-DKN0aN0,set30-F,DKN0aN0,1000,,,,set30,Richard Kowalik
set30-DKN0aN1,set30-F,DKN0aN1,2020,,,,set30,Richard Kowalik
set32-DKN0aN0,set32-F,DKN0aN0,1000,,,,set32,Hannah Haynie
set32-DKN0aN1,set32-F,DKN0aN1,2020,,,,set32,Hannah Haynie
set34-DKN0aN0,set34-F,DKN0aN0,1400,,,,set34,Erika Sandman
set34-DKN0aN1,set34-F,DKN0aN1,2020,,,,set34,Erika Sandman
set01-DKN0b,set01-F,DKN0b,?,,,,set01,Hank Nater
set02-DKN0b,set02-F,DKN0b,since 10th/11th century,,,,set02,Mathias Jenny
set03-DKN0b,set03-F,DKN0b,?,,,,set03,Yvonne Treis & Deginet Wotango Doyiso
set04-DKN0b,set04-F,DKN0b,?,,,,set04,Hannah Gibson & Maarten Mous
set05-DKN0b,set05-F,DKN0b,"Since late-19th century to early 20th century. I imagine the number of churches/missions and schools has increased since then, particularly since the mid-20th century when the world wars had finished.",,,,set05,Ellen Smith-Dennis
set06a-DKN0b,set06a-F,DKN0b,"From the 13th to the 18th century.
Documents show that Italian was spoken with a Sicilianate pronununciation and lexicon up to around 1750 by Maltese persons of little or no formal education.",,,,set06a,Joseph M Brincat
set07-DKN0b,set07-F,DKN0b,,,,,set07,Admire Phiri
set08-DKN0b,set08-F,DKN0b,?,,,,set08,Ross Bowden
set09-DKN0b,set09-F,DKN0b,1962-present,,"After Algeria's independence, opportunities for education and especially higher education were massively expanded by government intervention.",,set09,Lameen Souag
set10-DKN0b,set10-F,DKN0b,"Mass-schooling developped between the 1950s and the 1980s in the Focus area, leading to ever increasing exposure of Focus speaking children to Neighbour and standard Neighbour, used respectively as the oral and written media of formal instruction.",,,,set10,Anonymous
set11-DKN0b,set11-F,DKN0b,?,,,,set11,Alexander Cobbinah
set12-DKN0b,set12-F,DKN0b,Difficult to say.,,,,set12,Saloumeh Gholami in cooperation with Mahîr Dogan
set13-DKN0b,set13-F,DKN0b,?,,,,set13,Jerry K. Jacka
set14-DKN0b,set14-F,DKN0b,?,,,,set14,Ana María Ospina Bozzi
set15-DKN0b,set15-F,DKN0b,unknown,,,,set15,Bruno Olsson
set16-DKN0b,set16-F,DKN0b,?,,,,set16,Katja Hannß
set17-DKN0b,set17-F,DKN0b,"Since 1960. In this decade, the community's primary and secondary schools were founded.",,,,set17,Rosnátaly Avelino
set18-DKN0b,set18-F,DKN0b,1600-1800,,"I have decided to focus on this period, the pre-contact period before Mawng and Kunbarlang speakers had contact with people outside of Australia apart from those known as Macassans, who visited their land annually and came from the former port of Makassar in Indonesia. The associations between Mawng and Kunbarlang and areas of land were probably similar to what they are now.",,set18,Ruth Singer
set19-DKN0b,set19-F,DKN0b,"The Alorese and the Adang are in contact since the Alorese settled on the Alor coast, but probably the interaction got more intense after some time, when the Alorese started to trade and exchange women with the Adang, and to make alliances. Today they have many opportunities to meet, as in the city of Kokar, thanks to better road connections and motorbikes, but we believe that the interaction in the knowledge domain is less intense than in the past, because they interact more about practical issues rather than about esoteric knowledge.",,,,set19,Francesca Moro & Yunus Sulistyono
set20-DKN0b,set20-F,DKN0b,Since 1980s,,"The script ɔl ciki, a separate script for Santali (developed in 1925 by Pandit Raghunath Murmu, a Santal social reformer and writer) was recognized as a medium of instruction by the Government of West Bengal in 1979, leading to publication of text books and journals in this script. This event left an indelible impact in the mind of the Santali people and the Santali society as a whole became aware of the importance of their own language and education. They started sending their wards to the schools in large numbers which are also attended by the Bengali boys and girls. Around the same time the Santali people started entering politics in significant numbers as they thought the communist government (Left front government assumed office in 1978 in West Bengal) would address their grievances sincerely. A sense of belonging grew among them. They thought education would help them eradicate their poverty and superstition and they can also contribute in nation building. The Santali language was recognized in the 8th schedule of the Constitution of India in 2003 by the government of India. In Sahitya AcaDEMEy Santali language was recognized and a separate section for Santali literature came into being. This also gave an impetus to Santali language and literature. Literature in ɔl ciki script started publishing in large numbers, Sahitya AcaDEMEy started fellowships for the Santali writers. Though setting up of tribal schools was legislated during this period, not much headway was made in this respect. Therefore, Bengali medium schools and English medium schools were the main points of entry in schools, leading to regular contact with the Bengali students. From 2006 onwards Santali was recognized as a subject of study in colleges of the areas where Santali people concentrate in large numbers. In 2008-9 Santali was also recognized as a subject of study in at least two Universities in West Bengal, University of Burdwan and Vidyasagar University. A Central University like Viswa Bharati, started Santali Department much earlier.",,set20,Arun Ghosh
set21-DKN0b,set21-F,DKN0b,"Today Hausa has become the dominant language of wider communication all over northern Nigeria, and it is also employed for religious practices and educational purposes.",,,,set21,Georg Ziegelmeyer
set22-DKN0b,set22-F,DKN0b,"As above, this is based on the school situation since I cannot quantify the church situation.",,,,set22,Elizabeth Hall
set23-DKN0b,set23-F,DKN0b,"1949-present
ca. 70 years",,,,set23,Veronika Zikmundová & Kicengge (Chengzhi)
set24-DKN0b,set24-F,DKN0b,"Since the early 90's, after the 1994 Constitutional Reform which acknowledged the preexistence of indigenous peoples and guaranteed indigenous peoples to be educated in their own language, by means of Bilingual Intercultural Education.",,,,set24,Cristina Messineo & Paola Cúneo & Agustina Paredes & Nicolás Brid & Ana Blanco
set25-DKN0b,set25-F,DKN0b,During the 20th Century.,,,,set25,María Belén Carpio & Marcela Mendoza
set27-DKN0b,set27-F,DKN0b,"Probably since the early 20th century, until the present day and continuing. Interaction will have been increasing during this time frame and likely be densest in the present day.",,,,set27,Dineke Schokkin
set28-DKN0b,set28-F,DKN0b,?,,,,set28,Eri Kashima & Dineke Schokkin
set29-DKN0b,set29-F,DKN0b,?,,,,set29,Jill Vaughan
set30-DKN0b,set30-F,DKN0b,1650 and onwards,,,,set30,Richard Kowalik
set31-DKN0b,set31-F,DKN0b,?,,,,set31,Sonal Kulkarni-Joshi
