Table 1,,,,,,,,,,,,,
Dom,QID,CID,Wording,DataType,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Answer_Default
OV,OC3,OC3,29. How certain are you in your responses to the set of questions about attitudes and ideologies (The B-Set of questions)? QID: OC3:,Scalar,Very certain,Certain,Somewhat certain,Uncertain,Very uncertain,,,,
OV,OD4,OD4,3. What is the approximate proportion of native-like speakers in the total population of all speakers of [q2o1answer]?,Scalar,High proportion,Fairly high proportion,Intermediate proportion,Fairly low proportion,Low proportion,,,,
OV,OC4,OC4,30. How certain are you in your responses to the set of questions about language production (The O-Set of questions)? QID: OC4:,Scalar,Very certain,Certain,Somewhat certain,Uncertain,Very uncertain,,,,
OV,OC5,OC5,31. How certain are you in your responses to the set of questions about the languages spoken to the [q2o1answer] people (The I-Set of questions)? QID: OC5:,Scalar,Very certain,Certain,Somewhat certain,Uncertain,Very uncertain,,,,
OV,OC6,OC6,32. How certain are you in your responses to the set of questions about children (The T-Set of questions)? QID: OC6:,Scalar,Very certain,Certain,Somewhat certain,Uncertain,Very uncertain,,,,
OV,OD5,OD5,4. What is the approximate proportion of native-like speakers in the total population of all speakers of [q2o2answer]?,Scalar,High proportion,Fairly high proportion,Intermediate proportion,Fairly low proportion,Low proportion,,,,
OV,OG1,OG1,5. What is the population density within the area where [q2o1answer] is spoken?,Types,Less than 2 persons per 10 sq. km,2–4 persons per 10 sq. km,5–19 persons per 10 sq. km,20–99 persons per 10 sq. km,100–399 persons per 10 sq. km,,,,
OV,OS7,OS7,6. What is the mean size of the [q2o1answer] speaking communities at the local level?,Types,Fewer than 50 persons,From 50 to 99 persons,From 100 to 199 persons,From 200 to 399 persons,"From 400 to 1,000 persons","More than 1,000 persons in the absence of indigenous urban aggregations","One or more indigenous towns of more than 5,000 inhabitants but none of more than 50,000",,
OV,OS9,OS9,7. How frequently do [q2o1answer] people generally interact with out-group people?,Scalar,Very Frequently,Frequently,Neither frequently nor infrequently,Infrequently,Very infrequently,,,,
OV,OI1,OI1,"8. Is [q2o1answer] stated as an expression of identity of any of the following? QID: OI1:Group centered around shared descent, such as clan, house, lineage group, kinship group8. Is [q2o1answer] stated as an expression of identity of any of the following? QID: OI1:Race, ethnicity, or some other similar grouping8. Is [q2o1answer] stated as an expression of identity of any of the following? QID: OI1:Micro-level (politico-)territorial group, including regional or areal groups, clans, bands, tribes8. Is [q2o1answer] stated as an expression of identity of any of the following? QID: OI1:Micro-level (politico-)territorial group, including regional or areal groups, clans, bands, tribes8. Is [q2o1answer] stated as an expression of identity of any of the following? QID: OI1:Formal or informal relationships between non-kin, such as alliances, sodality membership, ad-hoc relationships between families or individuals",Variable-Binaryx5,Yes,No,,,,,,,
OV,OI3,OI3,9. Is there a codified standard variety for [q2o1answer]? QID: OI3,Binary-YesNo,Yes,No,,,,,,,
